,ICAO,Latitude,Longitude,Altitude,AptType,MaxRunwayLength
0,00AN,59.093472222,-156.455833333,80.0,P,4500.0
1,00AR,38.96965,-97.601555556,1352.0,P,2500.0
2,00C,37.203177778,-107.869194444,6684.0,C,5000.0
3,00CL,39.427188889,-121.763427778,87.0,P,3500.0
4,00F,45.470472222,-105.457138889,3282.0,C,4400.0
5,00IG,39.724027778,-101.395994444,3359.0,P,2400.0
6,00M,31.95375,-89.235333333,351.0,C,3000.0
7,00N,39.473738889,-75.184566667,108.0,C,2400.0
8,00R,30.685861111,-95.017916667,151.0,C,3700.0
9,00S,44.181555556,-122.085555556,1620.0,C,2600.0
10,00TN,36.12045,-86.359533333,675.0,P,1900.0
11,00TT,34.516605556,-99.936941667,1752.0,P,2400.0
12,00TX,32.544452778,-95.673130556,545.0,P,3800.0
13,00U,45.744388889,-107.660444444,3025.0,C,4400.0
14,00W,46.67275,-117.441666667,719.0,C,3400.0
15,00XA,30.224038889,-96.014152778,271.0,P,4200.0
16,01A,62.940755556,-152.269611111,2041.0,C,1100.0
17,01AN,61.649027778,-149.339027778,610.0,P,1800.0
18,01CN,62.106983333,-150.109297222,282.0,P,2000.0
19,01G,42.74135,-78.052147222,1558.0,C,3400.0
20,01GE,32.67515,-82.770994444,369.0,P,2500.0
21,01ID,42.60825,-112.032461111,5268.0,P,2800.0
22,01J,30.685966667,-81.906344444,59.0,C,3600.0
23,01K,37.036611111,-97.585555556,1157.0,C,2400.0
24,01M,34.491791667,-88.201202778,584.0,C,4000.0
25,01NK,43.422944444,-73.268025,421.0,P,2500.0
26,01OH,39.497472222,-84.313916667,775.0,P,0.0
27,01OL,34.372569444,-96.716036111,1060.0,P,2100.0
28,01U,38.85325,-115.634666667,5133.0,C,3400.0
29,02A,32.850483333,-86.611433333,585.0,C,4000.0
30,02AL,30.371463889,-87.764444444,61.0,P,2000.0
31,02AN,59.704222222,-151.295869444,221.0,P,1800.0
32,02C,43.089641667,-88.179444444,844.0,C,2900.0
33,02FA,28.526666667,-81.8748,121.0,P,3500.0
34,02FD,30.952347222,-86.635416667,209.0,P,3400.0
35,02G,40.673305556,-80.641416667,1161.0,C,3500.0
36,02MI,43.157002778,-85.148927778,850.0,P,2000.0
37,02MN,45.629736111,-93.174972222,950.0,P,2100.0
38,02MO,39.046261111,-91.028219444,630.0,P,2100.0
39,02NM,32.090711111,-108.870736111,4240.0,P,4200.0
40,02T,45.770027778,-112.980472222,5830.0,C,4000.0
41,02WA,47.152325,-122.094002778,690.0,P,2600.0
42,03B,37.126777778,-92.621611111,1520.0,C,3000.0
43,03CO,38.097919444,-106.089755556,7710.0,P,2100.0
44,03D,40.44725,-92.226944444,813.0,C,3300.0
45,03IA,41.141411111,-95.194380556,1081.0,P,2000.0
46,03MO,39.288830556,-93.992422222,930.0,P,2100.0
47,03OL,35.012333333,-97.702736111,1232.0,P,1900.0
48,03S,45.401611111,-122.228694444,704.0,C,2100.0
49,03TT,29.632116667,-95.932480556,117.0,P,3000.0
50,03WN,45.875455556,-120.672325,2342.0,P,2200.0
51,04A,31.736386111,-86.262455556,302.0,C,4600.0
52,04AN,61.737511111,-148.700725,943.0,P,2000.0
53,04AZ,35.721777778,-114.450538889,2470.0,P,8900.0
54,04CA,34.566622222,-117.670383333,3028.0,P,8000.0
55,04FA,25.558719444,-80.515058333,9.0,P,2600.0
56,04G,41.130472222,-80.619583333,1044.0,C,3000.0
57,04KS,37.398547222,-100.037094444,2551.0,P,2000.0
58,04M,33.930083333,-89.343277778,387.0,C,3200.0
59,04TN,36.183333333,-82.678888889,1430.0,P,3000.0
60,04TT,29.713694444,-99.545622222,1550.0,P,5100.0
61,04V,38.099394444,-106.174327778,7850.0,C,7900.0
62,04W,46.022938889,-92.895222222,1021.0,C,2700.0
63,04WN,46.958358333,-119.638819444,1510.0,P,4100.0
64,04Y,46.883777778,-96.350611111,1210.0,C,3300.0
65,05AK,61.668655556,-149.187333333,645.0,P,2000.0
66,05AN,64.960472222,-147.601091667,795.0,P,1200.0
67,05AR,36.000633333,-93.57025,1900.0,P,2000.0
68,05C,41.519841667,-87.399508333,634.0,C,4800.0
69,05D,47.967855556,-102.478116667,1924.0,C,3400.0
70,05IA,43.137872222,-93.068341667,1155.0,P,2400.0
71,05KS,37.266338889,-95.958975,925.0,P,2300.0
72,05LA,32.265422222,-91.697922222,77.0,P,2200.0
73,05MD,39.244219444,-76.198672222,20.0,P,2700.0
74,05MO,40.172019444,-92.212508333,776.0,P,2500.0
75,05N,35.482186111,-77.355775,50.0,C,1800.0
76,05NR,36.168416667,-79.276908333,675.0,P,1200.0
77,05OH,40.184666667,-81.920625,968.0,P,1200.0
78,05S,45.852105556,-123.242869444,650.0,C,2900.0
79,05U,39.60375,-116.003611111,5958.0,C,7300.0
80,05UT,37.288083333,-113.696944444,4478.0,P,1800.0
81,05V,37.411119444,-105.551680556,7720.0,C,6100.0
82,05Y,46.303988889,-95.442258333,1455.0,C,3100.0
83,06A,32.460472222,-85.680027778,264.0,C,5000.0
84,06AA,60.540138889,-150.813611111,260.0,P,1500.0
85,06AN,60.733819444,-151.213594444,194.0,P,1000.0
86,06C,41.989341667,-88.101241667,801.0,C,3800.0
87,06D,48.884416667,-99.620927778,1823.0,C,4300.0
88,06FA,26.908152778,-80.328413889,28.0,P,7000.0
89,06FD,28.641666667,-81.885,105.0,P,3400.0
90,06IA,41.840141667,-91.834413889,880.0,P,1700.0
91,06M,33.534833333,-89.313111111,450.0,C,3000.0
92,06MN,47.516522222,-94.086438889,1297.0,P,4700.0
93,06MO,39.230877778,-94.801536111,755.0,P,3000.0
94,06N,41.431911111,-74.391561111,523.0,C,2800.0
95,06TE,30.312958333,-95.027283333,132.0,P,3200.0
96,06TT,30.860022222,-100.201994444,2165.0,P,3100.0
97,06U,41.975830556,-114.658016667,5224.0,C,6100.0
98,06WN,46.924986111,-122.553038889,394.0,P,2800.0
99,06Y,45.829961111,-96.160613889,1068.0,C,2900.0
100,07A,32.167591667,-85.811197222,301.0,C,5000.0
101,07AN,62.825555556,-149.910808333,1408.0,P,1600.0
102,07F,32.528833333,-94.97175,297.0,C,3200.0
103,07FA,25.324316667,-80.275727778,6.0,P,4400.0
104,07GE,31.555661111,-83.278488889,335.0,P,1800.0
105,07IA,40.647888889,-95.02135,971.0,P,1600.0
106,07ID,48.149211111,-116.998013889,2313.0,P,1900.0
107,07K,41.112611111,-98.051722222,1717.0,C,3700.0
108,07LA,31.053,-92.632875,150.0,P,2300.0
109,07MD,39.609047222,-77.047997222,706.0,P,1000.0
110,07MT,48.421094444,-106.527716667,2762.0,P,13500.0
111,07N,40.016761111,-77.003866667,470.0,C,2200.0
112,07PA,41.853080556,-80.4072,870.0,P,1500.0
113,07R,27.610166667,-97.752527778,55.0,C,3200.0
114,07S,37.659305556,-96.527691667,1617.0,P,2400.0
115,07V,37.523825,-105.009269444,7153.0,C,5700.0
116,07Y,46.955894444,-93.597441667,1289.0,C,2900.0
117,08A,32.527333333,-86.331027778,197.0,C,3000.0
118,08AN,61.704294444,-149.212505556,892.0,P,1300.0
119,08AR,33.723611111,-94.145277778,329.0,P,2600.0
120,08B,44.0,-69.887138889,61.0,C,1900.0
121,08C,42.936722222,-85.805752778,603.0,C,3900.0
122,08D,48.300883333,-102.406752778,2250.0,C,3900.0
123,08F,34.531758333,-96.233052778,615.0,C,3900.0
124,08IL,41.860383333,-88.655741667,841.0,P,2000.0
125,08K,40.651333333,-98.079888889,1815.0,C,3700.0
126,08KS,39.034388889,-97.58,1250.0,P,2500.0
127,08M,32.761583333,-89.530388889,457.0,C,3000.0
128,08N,40.291552778,-76.328747222,550.0,C,2600.0
129,08NY,41.367261111,-74.518933333,569.0,P,500.0
130,08OL,35.408088889,-98.605477778,1518.0,P,1000.0
131,08R,41.4895,-71.620638889,130.0,C,2100.0
132,08TN,35.298913889,-86.474355556,820.0,P,2700.0
133,08TT,30.308802778,-99.022227778,2054.0,P,2000.0
134,08U,41.51575,-115.859919444,6397.0,C,3600.0
135,08UT,38.335016667,-109.135175,7175.0,P,5200.0
136,08WI,44.581986111,-88.14225,745.0,P,1000.0
137,09A,32.119305556,-88.127472222,134.0,C,4000.0
138,09AN,59.672108333,-151.657858333,744.0,P,3200.0
139,09CL,39.112063889,-121.055188889,2280.0,P,2800.0
140,09FA,27.245602778,-81.413127778,130.0,P,4800.0
141,09GE,34.458419444,-84.180372222,1497.0,P,5600.0
142,09J,31.074472222,-81.427777778,11.0,C,3700.0
